Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,3495.000000,3518.000000,3355.649902,3377.750000,3364.107422,2406205
2019-05-24,3400.000000,3475.000000,3391.300049,3467.899902,3453.893555,1568523
2019-05-27,3480.000000,3484.949951,3440.000000,3449.000000,3435.069824,932000
2019-05-28,3468.000000,3468.149902,3386.750000,3409.800049,3396.028076,1627768
2019-05-29,3403.000000,3433.000000,3384.500000,3409.250000,3395.480469,921278
2019-05-30,3408.899902,3489.699951,3400.050049,3481.649902,3467.587646,1175111
2019-05-31,3497.449951,3531.000000,3448.699951,3467.100098,3453.096680,2172866
2019-06-03,3460.000000,3529.899902,3460.000000,3511.050049,3496.869141,1241133
2019-06-04,3514.500000,3550.000000,3509.550049,3531.149902,3516.887939,1051400
2019-06-06,3533.000000,3533.000000,3445.449951,3452.949951,3439.003662,1314916
2019-06-07,3453.149902,3519.000000,3419.949951,3509.449951,3495.275391,1285044
2019-06-10,3546.949951,3557.750000,3506.000000,3519.600098,3505.384766,983274
2019-06-11,3537.000000,3564.000000,3511.250000,3551.850098,3537.504395,903155
2019-06-12,3539.949951,3539.949951,3482.000000,3505.850098,3491.690186,1214470
2019-06-13,3505.000000,3551.000000,3500.000000,3544.500000,3530.184082,880318
2019-06-14,3553.949951,3569.800049,3501.000000,3518.399902,3504.189209,864641
2019-06-17,3529.000000,3529.800049,3456.000000,3466.500000,3452.499268,953460
2019-06-18,3474.000000,3530.000000,3469.050049,3509.300049,3495.126465,1083527
2019-06-19,3539.000000,3548.000000,3500.100098,3525.500000,3511.260986,873941
2019-06-20,3519.000000,3589.000000,3507.399902,3582.550049,3568.080566,1107005
2019-06-21,3597.100098,3599.000000,3550.000000,3565.850098,3551.447998,1058266
2019-06-24,3562.000000,3579.899902,3533.050049,3545.350098,3531.030762,543703
2019-06-25,3545.350098,3586.000000,3530.350098,3579.850098,3565.391357,827869
2019-06-26,3569.850098,3635.000000,3563.000000,3627.949951,3613.296875,978806
2019-06-27,3635.000000,3659.000000,3620.100098,3642.199951,3627.489258,1135142
2019-06-28,3652.449951,3693.250000,3629.699951,3681.100098,3666.232422,1200036
2019-07-01,3688.699951,3716.000000,3685.000000,3699.000000,3684.060059,913884
2019-07-02,3699.000000,3720.000000,3670.050049,3711.100098,3696.111328,706478
2019-07-03,3714.000000,3730.300049,3695.000000,3715.399902,3700.393799,605040
2019-07-04,3730.000000,3749.899902,3705.149902,3732.500000,3717.424805,743616
2019-07-05,3734.000000,3762.000000,3706.449951,3719.149902,3704.128662,776280
2019-07-08,3724.949951,3724.949951,3375.000000,3413.300049,3399.513916,3857132
2019-07-09,3410.000000,3625.000000,3336.399902,3603.100098,3588.547607,5196125
2019-07-10,3599.949951,3599.949951,3412.000000,3429.050049,3415.200439,2909584
2019-07-11,3460.000000,3525.649902,3366.550049,3451.050049,3443.136230,2712241
2019-07-12,3470.000000,3470.000000,3366.000000,3377.500000,3369.754883,2696678
2019-07-15,3398.500000,3440.000000,3353.600098,3412.100098,3404.275635,1618073
2019-07-16,3433.399902,3464.899902,3406.050049,3448.699951,3440.791504,1685856
2019-07-17,3440.000000,3481.750000,3440.000000,3463.300049,3455.358154,915547
2019-07-18,3460.000000,3520.000000,3444.000000,3467.649902,3459.697998,1320464
2019-07-19,3476.000000,3501.250000,3263.100098,3323.100098,3315.479736,3033909
2019-07-22,3316.000000,3316.000000,3164.649902,3246.600098,3239.155029,3692023
2019-07-23,3257.000000,3297.350098,3208.149902,3276.899902,3269.385498,2223691
2019-07-24,3274.100098,3294.000000,3135.000000,3173.550049,3166.272461,2767989
2019-07-25,3198.899902,3243.399902,2996.199951,3046.500000,3039.513916,10290577
2019-07-26,3046.500000,3278.000000,2994.000000,3264.600098,3257.113770,6945080
2019-07-29,3272.750000,3300.000000,3180.000000,3252.649902,3245.190918,3478473
2019-07-30,3260.000000,3299.000000,3231.300049,3249.949951,3242.497314,2284905
2019-07-31,3233.050049,3267.649902,3160.100098,3252.050049,3244.592529,2438130
